"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"01.06.2026","2.964,00","2.967,00","3.099,00","2.920,00","5,68K","-0,37%"
"29.05.2026","2.975,00","3.050,00","3.158,00","2.945,00","7,84K","-3,63%"
"28.05.2026","3.087,00","3.132,00","3.187,00","3.057,00","5,79K","-1,37%"
"27.05.2026","3.130,00","3.148,00","3.263,00","3.108,00","8,33K","-0,73%"
"26.05.2026","3.153,00","2.850,00","3.176,00","2.785,00","7,94K","10,24%"
"22.05.2026","2.860,00","2.841,00","2.881,00","2.746,00","6,80K","0,35%"
"21.05.2026","2.850,00","2.909,00","2.961,00","2.831,00","6,34K","-2,70%"
"20.05.2026","2.929,00","2.942,00","2.972,00","2.854,00","6,16K","-1,15%"
"19.05.2026","2.963,00","2.848,00","2.994,00","2.848,00","7,95K","3,06%"
"18.05.2026","2.875,00","3.033,00","3.035,00","2.821,00","9,06K","-5,24%"
"15.05.2026","3.034,00","3.108,00","3.134,00","2.989,00","6,98K","-2,44%"
"14.05.2026","3.110,00","3.272,00","3.350,00","3.036,00","8,95K","-4,16%"
"13.05.2026","3.245,00","3.400,00","3.400,00","3.225,00","0,18K","-5,37%"
"12.05.2026","3.429,00","3.605,00","3.627,00","3.388,00","0,49K","-3,44%"
"11.05.2026","3.551,00","3.230,00","3.553,00","3.226,00","1,22K","12,09%"
"08.05.2026","3.168,00","3.300,00","3.428,00","3.140,00","2,07K","-3,88%"
"07.05.2026","3.296,00","3.135,00","3.404,00","3.135,00","1,77K","6,80%"
"06.05.2026","3.086,00","3.007,00","3.127,00","3.007,00","1,15K","1,38%"
"05.05.2026","3.044,00","2.835,00","3.079,00","2.824,00","2,64K","15,22%"
"01.05.2026","2.642,00","2.634,00","2.645,00","2.570,00","1,46K","0,80%"
"30.04.2026","2.621,00","2.517,00","2.656,00","2.500,00","5,52K","4,13%"
"29.04.2026","2.517,00","2.458,00","2.530,00","2.445,00","2,73K","0,88%"
"28.04.2026","2.495,00","2.420,00","2.501,00","2.419,00","2,11K","3,10%"
"27.04.2026","2.420,00","2.496,00","2.505,00","2.419,00","2,66K","-3,93%"
"24.04.2026","2.519,00","2.516,00","2.549,00","2.485,00","1,83K","-0,51%"
"23.04.2026","2.532,00","2.508,00","2.541,00","2.460,00","2,17K","0,76%"
"22.04.2026","2.513,00","2.427,00","2.550,00","2.425,00","3,70K","3,80%"
"21.04.2026","2.421,00","2.475,00","2.483,00","2.418,00","2,15K","-2,06%"
"20.04.2026","2.472,00","2.400,00","2.495,00","2.400,00","2,04K","3,34%"
"17.04.2026","2.392,00","2.503,00","2.550,00","2.379,00","4,37K","-4,17%"
"16.04.2026","2.496,00","2.480,00","2.573,00","2.470,00","3,62K","-2,35%"
"15.04.2026","2.556,00","2.570,00","2.640,00","2.520,00","5,94K","-2,14%"
"14.04.2026","2.612,00","2.451,00","2.630,00","2.425,00","6,73K","6,57%"
"13.04.2026","2.451,00","2.420,00","2.460,00","2.380,00","3,99K","1,16%"
"10.04.2026","2.423,00","2.350,00","2.428,00","2.350,00","3,52K","2,37%"
"09.04.2026","2.367,00","2.392,00","2.392,00","2.340,00","4,88K","-1,05%"
"08.04.2026","2.392,00","2.331,00","2.425,00","2.320,00","4,43K","2,62%"
"07.04.2026","2.331,00","2.458,00","2.464,00","2.325,00","6,76K","-5,21%"
"02.04.2026","2.459,00","2.476,00","2.499,00","2.432,00","7,53K","-0,45%"
"01.04.2026","2.470,00","2.480,00","2.482,00","2.431,00","6,86K","-0,68%"
"31.03.2026","2.487,00","2.334,00","2.492,00","2.334,00","7,46K","5,47%"
"30.03.2026","2.358,00","2.353,00","2.374,00","2.332,00","4,45K","-0,51%"
"27.03.2026","2.370,00","2.356,00","2.395,00","2.325,00","4,49K","0,59%"
"26.03.2026","2.356,00","2.327,00","2.384,00","2.310,00","4,23K","1,20%"
"25.03.2026","2.328,00","2.400,00","2.416,00","2.325,00","5,12K","-3,08%"
"24.03.2026","2.402,00","2.364,00","2.415,00","2.359,00","4,59K","1,44%"
"23.03.2026","2.368,00","2.383,00","2.471,00","2.364,00","5,32K","-1,91%"
"20.03.2026","2.414,00","2.445,00","2.467,00","2.351,00","6,21K","-1,67%"
"19.03.2026","2.455,00","2.415,00","2.473,00","2.358,00","6,73K","2,16%"
"18.03.2026","2.403,00","2.450,00","2.476,00","2.394,00","6,40K","-1,31%"
"17.03.2026","2.435,00","2.471,00","2.494,00","2.427,00","6,69K","4,60%"
"16.03.2026","2.328,00","2.315,00","2.316,00","2.312,00","0,02K","-2,76%"
"13.03.2026","2.394,00","2.380,00","2.436,00","2.336,00","0,42K","1,10%"
"12.03.2026","2.368,00","2.463,00","2.470,00","2.302,00","1,96K","-3,97%"
"11.03.2026","2.466,00","2.474,00","2.491,00","2.430,00","1,11K","0,16%"
